Candidate_ID,Soft_Drinks_perc,Fresh_Food_perc,Car_Care_perc,Non_Foods_perc,Hot_Coffee_and_Tea_perc,RECENCY,FREQUENCY,AOV,MONETARY,ABS,UNIQUE_CITIES_VISITED,UNIQUE_STATIONS_VISITED,UNIQUE_PRODUCTS,Days_bw_trx
1,0.07982511088235236,0.512038389408036,0.22398576258681618,0.15529660367057369,0.028854133452221646,132,12,58.34,748.18,4.13,6,7,22,11.0
2,0.03862363100469525,0.013627600535516132,0.45803500712174317,0.20931053128551969,0.28040323005252576,121,10,80.81,678.64,2.01,7,12,22,12.1
3,0.003617174745493152,0.6092981371808732,0.31067513539839897,0.04150978725580583,0.03489976541942879,197,5,59.08,281.29,5.02,4,9,21,39.4
4,0.09130535365891998,0.16347231116827193,0.33524562803005736,0.2548551368318312,0.15512157031091953,294,12,57.09,758.89,4.98,4,9,22,24.5
5,0.3774412659073136,0.05991806412233186,0.13780201381663426,0.18197712503584343,0.24286153111787692,122,11,57.96,690.35,2.76,2,11,18,11.1
6,0.44866959884451435,0.06497982308287199,0.2106410988618471,0.26183344455350954,0.013876034657257036,282,10,33.9,276.66,2.1,3,7,25,28.2
7,0.12415030171770237,0.024816076552493415,0.008928196833663,0.3947088669249881,0.44739655797115313,260,10,51.73,526.98,4.82,5,11,19,26.0
8,0.4290390313871077,0.09433014179493782,0.02668682267093413,0.2993195064285131,0.15062449771850714,39,9,49.55,372.53,4.53,4,7,20,4.3
9,0.0366773356108662,0.19262589915227982,0.009861347951237208,0.6764472124215057,0.08438820486411104,54,15,54.82,985.46,4.17,3,7,20,3.6
10,0.34056969898335854,0.11711665616833913,0.23016303081695685,0.24806942440548072,0.06408118962586479,161,13,51.75,779.63,4.83,4,9,26,12.4
11,0.3188801661563586,0.13623639546197752,0.2560945796647069,0.2056130143723326,0.08317584434462444,289,9,55.7,405.23,2.79,1,7,20,32.1
12,0.7725469084043958,0.02807707500377312,0.06610062970155195,0.014024669853168314,0.11925071703711078,200,9,45.33,466.48,4.13,3,9,20,22.2
13,0.1471558964473492,0.09465732261740889,0.5276348536605178,0.13193488743778023,0.09861703983694381,276,15,50.88,891.23,6.07,2,8,18,18.4
14,0.11231135792220576,0.021804361966739755,0.23261383624743365,0.011121346188133076,0.6221490976754877,16,11,31.58,327.06,4.3,4,7,23,1.5
15,0.3199884749253099,0.047915407280351784,0.001197654701978078,0.36549741287646903,0.2654010502158912,173,11,45.2,540.87,1.66,5,5,22,15.7
16,0.38123220229584165,0.43073849983564316,0.022462086588681755,0.1296093960770576,0.03595781520277582,248,15,70.86,1038.32,4.05,6,12,31,16.5
17,0.5226362610008194,0.2565968400568992,0.10560822372417089,0.017259241636898476,0.09789943358121207,218,10,54.78,581.84,2.86,2,9,17,21.8
18,0.0710287134264614,0.23618961924636322,0.18327912650584524,0.3940934258527535,0.11540911496857661,87,13,49.69,604.66,5.53,7,4,24,6.7
19,0.02495213593630262,0.2447027135180663,0.28021263795055373,0.16139881009591894,0.2887337024991584,82,11,78.44,801.62,5.64,2,11,18,7.5
20,0.3214084353096104,0.34919781726174637,0.2633406402060097,0.012155365281990824,0.05389774194064276,62,11,29.59,315.62,1.68,2,6,21,5.6
21,0.007076304202977673,0.22419294561766095,0.08362875210436845,0.1574284385308182,0.5276735595441746,287,10,33.36,286.29,6.52,2,9,29,28.7
22,0.11184660028967981,0.20606397930421358,0.5495028582939838,0.10134073662090003,0.031245825491222737,42,15,75.69,1285.74,2.78,3,10,22,2.8
23,0.058713551220377254,0.030169883362152393,0.455607088916232,0.28330320063983727,0.17220627586140125,12,10,50.69,476.22,8.12,6,5,13,1.2
24,0.2976712500394967,0.23621491053985277,0.0299620645420616,0.3236863896857358,0.11246538519285325,321,13,46.36,578.62,4.9,4,11,23,24.7
25,0.35278141438065436,0.4848900068874387,0.0819621959592603,0.024968336915346508,0.055398045857300286,234,10,32.01,370.58,2.51,4,14,25,23.4
26,0.1124441137506244,0.34392420405967256,0.39792312563899834,0.0014082134719687472,0.14430034307873582,329,19,56.72,1076.14,2.72,6,9,15,17.3
27,0.12881590402881613,0.05988514792382685,0.03044248980449204,0.09821024662476782,0.6826462116180972,131,11,58.17,651.16,5.7,5,12,25,11.9
28,0.06142266546380802,0.11508618098177147,0.19102344327425885,0.0711132947712196,0.5613544155089422,115,9,33.58,357.43,4.22,3,10,19,12.8
29,0.6626426653989869,0.05856380619671727,0.13883942948821695,0.07226669141270448,0.06768740750337426,218,9,47.9,497.74,4.81,2,16,28,24.2
30,0.018279737291889912,0.4574214943180085,0.33973480916811855,0.025704866751947567,0.15885909247003552,137,13,44.97,507.29,8.23,3,6,25,10.5
31,0.30881545762163354,0.03540280219981119,0.02023522944903641,0.08690669879244789,0.548639811937071,106,9,53.84,479.37,3.6,5,10,29,11.8
32,0.06298359915280446,0.25342879507528626,0.3258635885017926,0.06166285251293118,0.2960611647571856,179,14,33.21,552.61,5.12,3,12,17,12.8
33,0.13790662132491166,0.30091435299178537,0.3019171201973198,0.23080097051946075,0.028460934966522352,16,12,68.78,783.21,7.84,4,10,22,1.3
34,0.541261983102295,0.11607923428309257,0.06194892240136535,0.012492818106003709,0.2682170421072435,242,14,63.74,846.48,5.54,5,9,23,17.3
35,0.35827642113910396,0.005294749061554012,0.22715883162805067,0.08129513211243533,0.32797486605885606,334,9,44.55,352.06,1.79,6,8,14,37.1
36,0.040227096532403,0.24652463327824686,0.10265634339403885,0.5795311593342181,0.031060767461093344,226,11,46.75,434.95,6.01,1,6,22,20.5
37,0.07556160851679446,0.021817924410442918,0.468476412797136,0.3801034328582761,0.054040621417350665,242,10,47.95,525.63,2.67,6,9,20,24.2
38,0.233521900449247,0.3678906733260661,0.17537095195799757,0.1632803534671001,0.059936120799589085,141,13,38.33,552.04,7.81,8,9,21,10.8
39,0.016030296359193025,0.3731949238587115,0.3783867604849722,0.16447079442250528,0.06791722487461786,199,8,43.35,411.85,3.35,4,9,16,24.9
40,0.05584003368100493,0.16826918634982324,0.2956127694311888,0.2835281610037568,0.19674984953422633,112,8,45.95,407.77,10.94,4,6,24,14.0
41,0.2276729519657396,0.01947859482211083,0.03907038496023294,0.5071184365308266,0.20665963172109014,127,10,74.19,665.76,7.93,3,9,20,12.7
42,0.0066673964273052415,0.0772100875732077,0.7859510151746232,0.00366176705956775,0.1265097337652962,21,11,64.2,576.29,3.41,6,10,19,1.9
